"","player","GP","PVWS","WSpg","position","Z_val"
"132","Alex Caruso",66,2.69067410810146,0.0407677895166888,"PG",0.291000506276689
"137","Goran Dragic",57,0.881109936613551,0.0154580690633956,"PG",-0.66449744232824
"142","Kyle Lowry",55,2.80473704088148,0.0509952189251178,"PG",0.351228764550366
"144","Gabe Vincent",68,1.54931705249258,0.0227840743013615,"PG",-0.311666336073164
"152","Darius Garland",69,4.06941168085907,0.0589769808820155,"PG",1.01901056703691
"157","Raul Neto",48,0.882057372589103,0.018376195262273,"PG",-0.663997170967137
"162","Fred VanVleet",69,4.4202235068041,0.0640612102435377,"PG",1.20424852948021
"165","Dalano Banton",31,0.504808909062079,0.0162841583568413,"PG",-0.863194380269774
"172","Jalen Brunson",68,4.65420332809808,0.0684441665896776,"PG",1.32779609014921
"177","Derrick Rose",27,0.335872558503035,0.0124397243890013,"PG",-0.95239726069111
"182","Ja Morant",61,4.71542502032246,0.0773020495134829,"PG",1.36012276982834
"184","Tyus Jones",80,4.08438298290941,0.0510547872863676,"PG",1.02691581219065
"192","Shai Gilgeous-Alexander",68,6.35987461976188,0.0935275679376747,"PG",2.22843583858046
"193","Tre Mann",67,1.37200025026479,0.0204776156755939,"PG",-0.405294317579082
"205","D'Angelo Russell",70,4.06113649985427,0.0580162357122039,"PG",1.01464105165911
"207","Jordan McLaughlin",42,1.14075746623352,0.0271608920531791,"PG",-0.527396649871554
"218","Dennis Smith Jr.",54,1.91369962724827,0.035438881986079,"PG",-0.119262657788486
"226","Theo Maledon",44,1.43490627311238,0.0326115062070994,"PG",-0.372078266591324
