"","player","ROI","salary","gp","PVGS","position","Z_val"
"257","Harrison Barnes",-0.00636942975539512,18352273,82,5.44190195427012,"PF",-0.572712779272612
"264","Trey Lyles",0.026608719594448,2625000,74,2.36004832440857,"PF",0.159950208676868
"267","Giannis Antetokounmpo",0.0131730838534203,42492492,63,8.87197520754319,"PF",-0.138544195075022
"271","Bobby Portis",0.0499123959825127,10843350,70,4.60297049414636,"PF",0.677679114309604
"277","Marcus Morris Sr.",0.00516001078330897,16372093,65,2.66392543134059,"PF",-0.316567588562783
"281","Nicolas Batum",-0.00839605027883339,19700319,78,2.29824867252425,"PF",-0.617737435822937
"282","Robert Covington",-0.00955242378021914,12307692,48,1.34242808356464,"PF",-0.643428145623635
"292","Isaiah Livers",0.0105417311521765,1563518,51,1.2247528212591,"PF",-0.197003956172907
"298","Derrick Jones Jr.",0.014169260824666,3200000,63,1.35582341477529,"PF",-0.116412510590949
"307","Chimezie Metu",0.00420162195113494,1910860,66,1.43174600167741,"PF",-0.337859748348619
"313","Chris Boucher",-0.00620709686178611,12690000,76,3.44038816543544,"PF",-0.569106291182199
"325","Trendon Watford",0.0348547635479575,1563518,61,2.00467798540196,"PF",0.343149427579361
"330","Davis Bertans",-0.0332951636468377,1.6e+07,45,0.634165772470324,"PF",-1.17091155738964
"3","Joel Embiid",0.0260672749450424,33616770,66,10.3312533237681,"C",0.130698008538455
"6","Montrezl Harrell",0.0145949300212382,2463490,57,1.4029704574941,"C",-0.157858344855731
"13","Al Horford",0.00721560175910074,26500000,63,3.51416971507491,"C",-0.343465739678981
"21","Anthony Davis",0.0238429487247314,37980720,56,7.57039660658717,"C",0.0747509927230361
"27","Wenyen Gabriel",0.0506576664508869,1878720,68,1.74189006489673,"C",0.749203967746394
"29","Kevon Looney",0.0610293941153519,8e+06,81,4.43362082561062,"C",1.01007721843168
"33","James Wiseman",-0.00336618521805776,9603360,45,1.82032720770857,"C",-0.609622474226535
"40","Wendell Carter Jr.",-0.00962154779394131,14150000,57,4.05160480934748,"C",-0.766959498700942
"45","Mo Bamba",-0.0291785104485361,10300000,49,1.49000793834737,"C",-1.25886292947792
"49","Isaiah Stewart",0.0134417514617813,3433320,49,2.48616776925489,"C",-0.186863487408479
"52","Jalen Duren",0.0125743188068659,4124280,66,3.53315175809242,"C",-0.20868145098784
"58","Kristaps Porzingis",-0.0194972319172128,33833400,65,6.97462429047829,"C",-1.01535609214464
"65","Daniel Gafford",0.0534649474344968,1930681,78,3.93094384664703,"C",0.819813661663677
"67","Jalen Smith",0.0119510501529358,4670160,68,2.77461171871962,"C",-0.224358117890506
"70","Isaiah Jackson",0.0136060329901646,2573760,63,2.29923832082128,"C",-0.182731422074395
"81","Alperen Sengun",0.0414364476500637,3375360,75,5.76642541182919,"C",0.517268710509278
